seed parete    successo  fitness        n° passi      DNA                           
1123           1         0.315075       47             3 0 1 1 2 2 2 2 0 3 3 1 2 2 2 2 0 0 1 0 3 1 3 0 0 3 1 3 3 3 2 2 
1123           1         0.32483        42             0 0 1 1 2 2 2 2 2 3 3 3 2 2 2 2 3 0 1 0 3 2 2 2 3 2 1 3 3 3 3 0 
1123           1         0.308148       45             1 0 1 0 2 2 2 2 0 3 3 3 2 2 2 2 0 0 1 1 0 3 0 1 2 0 1 3 1 2 2 3 
1123           1         0.325614       46             2 0 1 0 2 2 2 2 3 3 3 3 2 2 2 2 0 0 1 1 0 2 2 1 1 3 3 3 2 1 1 1 
1123           1         0.295836       43             3 0 1 0 2 2 2 2 3 3 3 3 2 2 2 2 0 0 1 1 2 1 2 2 3 3 1 3 2 2 3 2 
1123           1         0.266052       51             0 0 1 0 2 2 2 2 3 3 3 3 2 2 2 2 3 0 1 1 2 2 0 2 2 3 1 3 2 0 1 2 
1123           1         0.304253       48             1 0 1 0 2 2 2 2 3 3 3 3 2 2 2 2 1 0 1 1 3 3 0 2 0 2 0 3 1 3 1 3 
1123           0         0.0173         100            1 0 2 0 2 0 2 1 2 0 3 1 0 3 3 3 3 0 3 0 3 0 2 2 2 1 0 0 2 0 2 3 
1123           0         0.0331         100            2 0 1 1 2 0 2 2 2 0 1 3 0 0 2 2 2 0 2 0 0 2 2 0 0 3 1 1 2 2 1 2 
1123           1         0.235332       56             2 0 1 0 2 2 2 2 1 3 3 1 2 3 2 3 2 0 1 1 2 2 1 2 3 2 1 0 3 0 0 2 
1123           1         0.258747       51             1 2 1 0 2 2 2 2 1 3 3 1 2 2 2 2 1 3 0 1 2 3 0 2 1 1 1 1 2 3 3 0 
1123           1         0.29179        52             2 0 1 1 2 2 2 2 3 3 3 3 2 2 2 2 0 0 1 0 2 1 0 2 2 1 2 3 3 2 2 0 
1123           1         0.335227       44             1 0 1 1 2 2 2 2 2 3 3 3 2 2 2 2 3 0 1 0 1 0 0 1 1 3 1 1 0 0 3 3 
1123           0         0.0331         100            1 0 1 1 2 0 2 2 1 0 1 3 3 0 2 2 3 0 3 0 2 2 2 2 0 1 2 0 3 0 2 3 
1123           1         0.2764         50             1 0 1 1 2 2 2 2 2 3 3 1 2 2 2 2 3 0 1 0 3 3 3 0 1 3 0 3 0 3 2 1 
1123           0         0.0006         100            2 1 0 2 2 1 2 0 2 1 2 3 1 1 1 3 0 0 2 1 1 3 2 1 2 0 1 1 2 2 3 2 
1123           1         0.2932         50             3 0 1 0 2 2 2 2 3 3 3 3 2 2 2 2 3 0 1 1 0 2 2 1 1 3 1 3 0 1 3 2 
1123           1         0.303207       49             2 0 1 1 2 2 2 2 3 3 3 3 2 2 2 2 0 0 1 0 1 0 2 0 2 0 3 1 2 3 3 2 
277366231      1         0.579073       29             2 0 1 0 2 2 2 2 1 3 1 0 2 2 2 2 0 0 1 1 3 0 3 2 0 3 2 1 0 2 3 2 
1214949868     1         0.7216         25             2 0 1 0 2 2 2 1 3 3 1 1 2 2 2 2 1 0 3 0 0 3 2 2 2 3 1 0 1 1 2 2 
1928044135     1         1.10795        44             0 0 1 0 2 2 2 2 1 3 1 3 2 2 2 2 0 0 1 1 1 3 2 0 1 0 1 0 1 3 1 3 
1935230763     1         0.387654       45             3 0 1 1 2 2 2 2 1 0 1 1 2 2 2 2 2 0 3 0 3 2 3 0 2 0 3 1 1 3 1 2 
1903719420     0         0.0404         100            1 0 1 0 2 2 2 2 2 0 3 3 2 0 2 2 2 1 1 0 0 2 1 2 3 0 1 3 1 3 1 1 
-275412827     1         0.71366        37             2 0 1 1 2 2 2 2 1 0 3 3 2 2 2 2 0 0 3 1 3 3 0 1 1 3 3 3 1 3 1 2 
-2123011010    1         4.83673        7              1 1 3 0 2 3 2 0 1 1 2 0 2 0 2 3 0 0 1 2 1 0 3 3 1 0 0 2 2 3 3 3 
-2091375236    1         0.561391       52             2 0 1 0 2 2 2 2 3 0 3 3 2 2 2 2 0 0 1 1 2 2 1 2 1 0 0 3 1 3 3 2 
-23049453      0         0.2727         100            1 0 1 0 2 2 2 2 0 3 1 3 2 2 3 3 2 0 1 1 1 0 2 2 0 0 3 1 3 1 2 3 
-414415375     1         0.555671       31             3 0 1 1 2 2 2 2 0 3 1 3 2 2 2 2 3 0 1 0 2 0 3 2 1 3 3 0 3 3 0 1 
1056920912     1         0.580247       27             3 0 1 1 2 2 2 2 2 0 1 3 3 2 2 2 0 0 3 0 3 2 2 2 1 0 3 1 1 3 1 0 
1531610623     0         0.0008         100            3 1 0 0 2 0 2 0 2 3 2 0 0 1 1 3 2 2 0 0 2 0 1 1 1 2 1 3 3 0 1 1 
617761561      1         0.325432       45             2 0 1 0 2 2 2 2 3 0 3 3 3 0 3 2 2 0 1 0 2 2 2 2 0 2 1 3 0 3 1 3 
527246300      1         0.362358       43             0 0 1 0 2 2 2 2 1 3 1 3 2 2 2 2 3 0 2 1 0 2 0 0 3 3 3 3 2 2 1 3 
-709761647     1         0.681332       29             0 0 1 0 2 0 2 2 0 0 3 3 3 2 2 2 1 1 1 1 0 3 2 1 3 3 0 3 2 3 3 2 
1415746595     1         0.795841       23             2 0 1 0 2 2 2 2 2 0 3 3 3 2 2 2 3 0 1 1 0 2 2 1 3 3 3 3 0 3 0 2 
